id,show_name
BD30-604,DXP-604
BD45-21,BRII-196
BD45-70,BG7-15
BD45-105,S2H97
BD45-145,C576
BD45-147,C581
BD45-152,LY-CoV1404
BD45-158,Ehling_mAb-50
BD45-228,COV2-2046
BD45-231,COV2-2068
BD45-277,COV2-2258
BD55-1205,BD55-1205
BD55-3372,BD55-3372
BD55-4637,BD55-4637
BD55-5483,BD55-5483
BD55-5514,BD55-5514
BD55-5840,BD55-5840
CP-mh-0224,BD60-0224
CP-mh-0266,BD60-0266
CP0199,BD58-0199
CP0200,BD58-0200
CP0206,BD58-0206
CP0207,BD58-0207
CP0265,BD58-0265
CP0278,BD58-0278
CP0280,BD58-0280
CP0352,BD58-0352
CP0365,BD58-0365
CP0427,BD58-0427
CP0430,BD58-0430
CP0459,BD58-0459
CP0497,BD58-0497
CP0499,BD58-0499
CP0513,BD58-0513
CP0516,BD58-0516
CP0537,BD58-0537
CP0590,BD58-0590
CP0592,BD58-0592
GC0021,BD57-0021
GC0027,BD57-0027
GC0033,BD57-0033
GC0056,BD57-0056
GC0066,BD57-0066
GC0101,BD57-0101
GC0102,BD57-0102
GC0103,BD57-0103
GC0104,BD57-0104
GC0105,BD57-0105
GC0106,BD57-0106
GC0107,BD57-0107
GC0108,BD57-0108
GC0110,BD57-0110
GC0111,BD57-0111
GC0112,BD57-0112
GC0113,BD57-0113
GC0114,BD57-0114
GC0115,BD57-0115
GC0116,BD57-0116
GC0117,BD57-0117
GC0118,BD57-0118
GC0119,BD57-0119
GC0120,BD57-0120
GC0122,BD57-0122
GC0124,BD57-0124
GC0125,BD57-0125
GC0126,BD57-0126
GC0127,BD57-0127
GC0128,BD57-0128
GC0129,BD57-0129
GC0130,BD57-0130
GC0131,BD57-0131
GC0132,BD57-0132
GC0133,BD57-0133
GC0134,BD57-0134
GC0136,BD57-0136
GC0137,BD57-0137
GC0139,BD57-0139
GC0140,BD57-0140
GC0141,BD57-0141
GC0142,BD57-0142
GC0143,BD57-0143
GC0144,BD57-0144
GC0145,BD57-0145
GC0146,BD57-0146
GC0147,BD57-0147
GC0148,BD57-0148
GC0149,BD57-0149
GC0150,BD57-0150
GC0151,BD57-0151
GC0152,BD57-0152
GC0153,BD57-0153
GC0154,BD57-0154
GC0155,BD57-0155
GC0156,BD57-0156
GC0157,BD57-0157
GC0158,BD57-0158
GC0159,BD57-0159
GC0160,BD57-0160
GC0161,BD57-0161
GC0162,BD57-0162
GC0163,BD57-0163
GC0164,BD57-0164
GC0165,BD57-0165
GC0167,BD57-0167
GC0168,BD57-0168
GC0169,BD57-0169
GC0170,BD57-0170
GC0171,BD57-0171
GC0172,BD57-0172
GC0173,BD57-0173
GC0174,BD57-0174
GC0175,BD57-0175
GC0176,BD57-0176
GC0177,BD57-0177
GC0178,BD57-0178
GC0179,BD57-0179
GC0180,BD57-0180
GC0181,BD57-0181
GC0182,BD57-0182
GC0183,BD57-0183
GC0184,BD57-0184
GC0185,BD57-0185
GC0186,BD57-0186
GC0187,BD57-0187
GC0188,BD57-0188
GC0189,BD57-0189
GC0190,BD57-0190
GC0191,BD57-0191
GC0192,BD57-0192
GC0193,BD57-0193
GC0194,BD57-0194
GC0195,BD57-0195
GC0196,BD57-0196
GC0197,BD57-0197
GC0198,BD57-0198
GC0200,BD57-0200
GC0201,BD57-0201
GC0204,BD57-0204
GC0205,BD57-0205
GC0206,BD57-0206
GC0207,BD57-0207
GC0208,BD57-0208
GC0209,BD57-0209
GC0210,BD57-0210
GC0212,BD57-0212
GC0213,BD57-0213
GC0215,BD57-0215
GC0216,BD57-0216
GC0217,BD57-0217
GC0218,BD57-0218
GC0220,BD57-0220
GC0222,BD57-0222
GC0223,BD57-0223
GC0224,BD57-0224
GC0225,BD57-0225
GC0226,BD57-0226
GC0227,BD57-0227
GC0228,BD57-0228
GC0230,BD57-0230
GC0231,BD57-0231
GC0235,BD57-0235
GC0236,BD57-0236
GC0237,BD57-0237
GC0239,BD57-0239
GC0240,BD57-0240
GC0241,BD57-0241
GC0242,BD57-0242
GC0243,BD57-0243
GC0244,BD57-0244
