UMAP1,UMAP2,antibody,cluster,group,confidence,second_group
11.326628,10.864877,BD30-604,0,A1,1.0,
-0.53567123,2.7447336,BD45-105,10,E3,1.0,
7.3892612,-0.15899418,BD45-145,1,D3,0.7,E1/E2.1
4.36871,-1.0197005,BD45-147,5,E1/E2.1,1.0,
10.087426,0.77162117,BD45-152,6,D2,1.0,
8.165283,2.108903,BD45-158,6,D2,0.9,E1/E2.1
10.828628,8.240574,BD45-21,0,A1,1.0,
9.708321,7.553145,BD45-228,0,A1,0.9,C/D1
11.694922,10.260744,BD45-231,0,A1,1.0,
-0.36540967,7.855967,BD45-277,7,F1,1.0,
8.086193,2.2725363,BD45-70,6,D2,0.9,E1/E2.1
12.439719,9.238253,BD55-1205,0,A1,1.0,
13.925476,3.771305,BD55-3372,2,F3,1.0,
13.45228,2.267061,BD55-4637,8,D4,0.6,F3
14.433221,3.5727935,BD55-5483,2,F3,1.0,
14.212785,3.2494466,BD55-5514,2,F3,1.0,
7.2452674,0.38592413,BD55-5840,1,D3,0.8,E1/E2.1
14.990236,3.5708587,CP-mh-0224,2,F3,1.0,
14.90913,3.5261116,CP-mh-0266,2,F3,1.0,
14.356721,-1.9270803,CP0199,1,D3,1.0,
6.8557706,8.218504,CP0200,9,C/D1,1.0,
12.675131,0.47579345,CP0206,8,D4,0.7,D3
14.094497,-2.0920343,CP0207,1,D3,1.0,
8.994014,-0.24374233,CP0265,1,D3,1.0,
13.228594,-0.47474012,CP0278,1,D3,0.8,D4
9.217137,0.16511025,CP0280,1,D3,1.0,
12.1867,0.61333907,CP0352,8,D4,0.7,D3
7.9529767,5.1587033,CP0365,9,C/D1,0.6,D4
12.870305,4.918735,CP0427,2,F3,1.0,
15.884162,4.510439,CP0430,2,F3,1.0,
13.005135,4.186826,CP0459,2,F3,0.9,D4
11.501019,3.2473733,CP0497,8,D4,0.9,F3
15.185808,4.7910504,CP0499,2,F3,1.0,
14.202194,4.716643,CP0513,2,F3,1.0,
